t_iso,frame_i,fsm_state,align_sub,camera_frame_number,camera_frame_delta,camera_sensor_timestamp_ms,camera_sensor_interval_ms,camera_timestamp_domain,camera_input_host_mono_ms,camera_input_interval_ms,inference_ran,inference_start_host_mono_ms,inference_end_host_mono_ms,model_inference_ms,input_to_inference_end_ms,pose_result_host_mono_ms,input_to_pose_result_ms,model_det_ok,pnp_ok,yaw_deg,pos_x_m,pos_z_m,center_bearing_deg
2026-09-01T17:43:52.834,82,ACQUIRE_VERIFY,ACQUIRE_VERIFY,270,5,1788252232796.083,166.816,timestamp_domain.system_time,20980468.000,93.000,1,20980468.000,20980468.000,0.000,0.000,20980468.000,0.000,1,1,-3.3597,-0.161545,3.987849,-2.3197
2026-09-01T17:43:52.935,83,ACQUIRE_VERIFY,ACQUIRE_VERIFY,273,3,1788252232895.950,99.867,timestamp_domain.system_time,20980546.000,78.000,1,20980546.000,20980578.000,32.000,32.000,20980578.000,32.000,1,1,-3.1724,-0.160988,3.979091,-2.3168
2026-09-01T17:43:53.028,84,ACQUIRE_VERIFY,ACQUIRE_VERIFY,276,3,1788252232996.118,100.168,timestamp_domain.system_time,20980640.000,94.000,1,20980640.000,20980671.000,31.000,31.000,20980671.000,31.000,1,1,-2.1894,-0.162873,3.982432,-2.3420
2026-09-01T17:43:53.122,85,ACQUIRE_VERIFY,ACQUIRE_VERIFY,278,2,1788252233062.742,66.624,timestamp_domain.system_time,20980734.000,94.000,1,20980750.000,20980765.000,15.000,31.000,20980765.000,31.000,1,1,-2.1655,-0.162503,3.986876,-2.3341
2026-09-01T17:43:53.214,86,ACQUIRE_VERIFY,ACQUIRE_VERIFY,281,3,1788252233163.029,100.287,timestamp_domain.system_time,20980828.000,94.000,1,20980828.000,20980859.000,31.000,31.000,20980859.000,31.000,1,1,-3.1724,-0.160988,3.979091,-2.3168
2026-09-01T17:43:53.305,87,ACQUIRE_VERIFY,ACQUIRE_VERIFY,284,3,1788252233263.136,100.108,timestamp_domain.system_time,20980921.000,93.000,1,20980921.000,20980953.000,32.000,32.000,20980953.000,32.000,1,1,-2.0841,-0.163121,3.998757,-2.3360
2026-09-01T17:43:53.404,88,ACQUIRE_VERIFY,ACQUIRE_VERIFY,287,3,1788252233363.033,99.896,timestamp_domain.system_time,20981015.000,94.000,1,20981015.000,20981046.000,31.000,31.000,20981046.000,31.000,1,1,-3.4527,-0.161119,3.990695,-2.3120
2026-09-01T17:43:53.489,89,ACQUIRE_VERIFY,ACQUIRE_VERIFY,290,3,1788252233463.131,100.098,timestamp_domain.system_time,20981109.000,94.000,1,20981109.000,20981125.000,16.000,16.000,20981125.000,16.000,1,1,-2.4596,-0.161962,3.988361,-2.3254
2026-09-01T17:43:53.596,90,ACQUIRE_VERIFY,ACQUIRE_VERIFY,293,3,1788252233563.383,100.252,timestamp_domain.system_time,20981218.000,109.000,1,20981218.000,20981234.000,16.000,16.000,20981234.000,16.000,1,1,-2.6180,-0.160974,3.979399,-2.3165
2026-09-01T17:43:53.694,91,ACQUIRE_VERIFY,ACQUIRE_VERIFY,295,2,1788252233630.009,66.626,timestamp_domain.system_time,20981296.000,78.000,1,20981296.000,20981328.000,32.000,32.000,20981328.000,32.000,1,1,-3.3397,-0.160210,3.984823,-2.3023
