beta_deg,camera_z_m,category,clearance_m,cycles,elapsed_sec,final_camera_z_m,final_yaw_deg,forward_m,min_fov_deg,radius_m,reason,success,terminal,turn_deg,x_m,y_m
27.5,0.032144041751977936,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,0.5540983358820407,1.064412999813866
30.0,0.04368602791855858,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,0.5999999999999999,1.0392304845413265
32.5,0.056134704802912716,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,0.6447595300161885,1.0120697349754628
35.0,0.0694663756410544,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,0.6882917236212552,0.9829824531467901
37.5,0.08365566283982051,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,0.7305137148104648,0.9520240083494822
40.0,0.09867555628456193,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,0.7713451316238471,0.9192533317427736
42.5,0.11449746475443157,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,0.8107082491387922,0.8847328041721488
45.0,0.13109127034739865,0,,,,,,,,1.2,rotation-only geometry impossible under current insertion gates,False,,,0.848528137423857,0.848528137423857
-45.0,0.23109127034739874,0,,,,,,,,1.3,rotation-only geometry impossible under current insertion gates,False,,,-0.9192388155425119,0.9192388155425119
-42.5,0.21449746475443165,0,,,,,,,,1.3,rotation-only geometry impossible under current insertion gates,False,,,-0.8782672699003583,0.9584605378531613
-40.0,0.19867555628456202,0,,,,,,,,1.3,rotation-only geometry impossible under current insertion gates,False,,,-0.835623892592501,0.9958577760546714
-37.5,0.1836556628398206,0,,,,,,,,1.3,rotation-only geometry impossible under current insertion gates,False,,,-0.7913898577113369,1.0313593423786058
-35.0,0.1694663756410545,0,,,,,,,,1.3,rotation-only geometry impossible under current insertion gates,False,,,-0.7456493672563599,1.0648976575756894
-32.5,0.1561347048029128,0,,,,,,,,1.3,rotation-only geometry impossible under current insertion gates,False,,,-0.698489490850871,1.0964088795567515
-30.0,0.14368602791855867,0,,,,,,,,1.3,rotation-only geometry impossible under current insertion gates,False,,,-0.6499999999999999,1.1258330249197703
-27.5,0.13214404175197803,0,,,,,,,,1.3,rotation-only geometry impossible under current insertion gates,False,,,-0.6002731972055441,1.1531140831316882
-25.0,0.12153071712984242,0,,,,,,,,1.3,rotation-only geometry impossible under current insertion gates,False,,,-0.5494037402629093,1.1782001231476449
-22.5,0.11186625711879228,0,,,,,,,,1.3,rotation-only geometry impossible under current insertion gates,False,,,-0.4974884620746167,1.2010433922646728
